"sinc1_s","sinc7_2","sinc7_3","sinc1_1","sinc1_2","sinc1_3","gender"
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.3333333333333333,0.33340000000000003,0.3076923076923077,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.08333333333333333,0.3784,0.07692307692307693,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.16666666666666666,,,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.3333333333333333,0.2758,0.3076923076923077,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.08333333333333333,0.2632,0.15384615384615385,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.4166666666666667,0.5128,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.25,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.303,,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.16666666666666666,0.3556,,0.0
,,,0.25,0.07139999999999999,,0.0
