"fun1_s","fun7_2","fun7_3","fun1_1","fun1_2","fun1_3","gender"
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.3,0.44439999999999996,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.4,0.5406,0.5,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.2,,,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.4,0.5518,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.31579999999999997,0.6666666666666666,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.5,0.46159999999999995,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.4,,,0.0
,,,0.3636,,,0.0
,,,0.3636,,,0.0
,,,0.3636,,,0.0
,,,0.3636,,,0.0
,,,0.3636,,,0.0
,,,0.3636,,,0.0
,,,0.3636,,,0.0
