"intel1_s","intel7_2","intel7_3","intel1_1","intel1_2","intel1_3","gender"
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.4,0.34725,0.4444444444444444,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.5,0.5405,0.8888888888888888,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.7,,,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.4,0.51725,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.5,0.4605,0.4444444444444444,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.4,0.51275,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.5454,,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.4,0.5555,,0.0
,,,0.3,0.26775000000000004,,0.0
,,,0.3,0.26775000000000004,,0.0
,,,0.3,0.26775000000000004,,0.0
